#
# Photometric measurements of Mira
#
#  Time-stamp: <2023/07/27 18:23:00 (CST) daisuke>
#
#  data originally from AAVSO
#  data file prepared by Kinoshita Daisuke
#
#  format of data file
#   1st column: year-month-day
#   2nd column: V-band apparent magnitude
#   3rd column: error of V-band apparent magnitude
#
2012-10-15.253470  4.684  0.000
2012-10-16.618960  4.737  0.038
2012-10-21.225000  4.931  0.000
2012-10-23.911800  4.970  0.030
2012-10-29.285420  5.278  0.000
2012-11-03.684590  5.583  0.022
2012-11-09.264580  5.747  0.000
2012-11-12.601300  5.693  0.022
2012-11-14.847900  5.940  0.030
2012-11-16.213190  6.037  0.000
2012-11-22.100000  6.266  0.000
2012-11-27.159720  6.457  0.000
2012-12-03.092360  6.655  0.000
2012-12-13.059720  6.982  0.000
2012-12-19.743800  7.210  0.030
2012-12-22.128990  7.502  0.121
2012-12-22.989330  7.429  0.020
2012-12-23.019440  7.326  0.000
2012-12-28.706300  7.420  0.020
2012-12-30.043060  7.509  0.000
2012-12-31.725000  7.500  0.010
2013-01-05.024310  7.635  0.000
2013-01-11.729900  7.930  0.020
2013-01-15.029170  7.942  0.000
2013-01-18.708300  8.020  0.030
2013-01-19.146560  8.039  0.031
2013-01-22.072910  8.160  0.046
2013-01-26.051390  8.197  0.000
2013-01-28.026890  8.277  0.003
2013-02-12.092700  8.703  0.063
2013-02-13.060420  8.639  0.000
2013-02-14.023150  8.721  0.012
2013-02-17.094870  8.907  0.052
2013-08-03.388130  3.378  0.022
2013-08-14.354860  3.398  0.000
2013-08-18.350330  3.518  0.023
2013-09-01.350630  4.055  0.046
2013-09-14.306250  4.362  0.035
2013-09-28.263980  4.896  0.036
2013-10-09.227450  5.264  0.045
2013-10-28.283680  6.080  0.021
2013-11-06.920100  6.400  0.030
2013-11-14.202160  6.726  0.003
2013-12-07.190690  7.583  0.005
2013-12-28.113520  8.297  0.007
2014-01-14.000730  8.802  0.014
2014-03-07.021610  8.682  0.024
2014-08-03.405120  4.464  0.028
2014-08-28.384420  5.483  0.017
2014-08-31.343850  5.655  0.030
2014-09-22.292950  6.627  0.007
2014-09-23.289270  6.616  0.066
2014-10-16.205290  7.445  0.000
2014-10-22.186200  7.622  0.005
2014-10-26.236760  7.849  0.000
2014-10-26.261880  7.780  0.007
2014-10-28.895800  7.880  0.030
2014-10-30.895800  7.910  0.030
2014-11-05.236200  8.128  0.000
2014-11-06.283390  8.201  0.003
2014-12-07.063190  8.845  0.008
2014-12-12.211280  8.967  0.012
2014-12-28.993270  9.156  0.020
2015-01-04.235970  9.237  0.105
2015-01-25.997640  8.832  0.020
2015-02-28.024540  7.900  0.007
2015-03-21.053370  6.072  0.000
2015-07-30.406310  5.511  0.040
2015-08-16.363300  6.143  0.034
2015-08-22.371880  6.378  0.012
2015-09-13.279390  7.156  0.013
2015-10-12.258100  8.211  0.007
2015-10-18.216840  8.411  0.005
2015-11-01.198670  8.823  0.011
2015-11-01.905810  8.954  0.052
2015-11-08.225750  8.963  0.010
2015-11-29.068530  8.938  0.021
2015-12-19.025740  8.877  0.011
2015-12-27.217540  8.546  0.020
2015-12-31.977550  8.615  0.020
2016-01-02.218090  8.555  0.017
2016-01-14.178520  8.412  0.004
2016-01-16.988700  8.152  0.011
2016-01-31.088770  7.335  0.018
2016-02-03.116600  7.138  0.004
2016-02-10.076080  6.025  0.019
2016-02-18.020850  4.350  0.014
2016-08-01.401080  7.223  0.016
2016-08-07.388830  7.459  0.005
2016-09-02.377090  8.358  0.010
2016-09-11.346260  8.640  0.008
2016-10-02.316500  8.994  0.094
2016-10-10.305230  9.200  0.013
2016-10-23.354020  9.161  0.009
2016-11-03.236160  8.966  0.008
2016-11-19.171820  8.880  0.003
2016-11-20.229630  8.764  0.014
2016-11-24.174110  8.847  0.002
2016-12-01.235790  8.770  0.002
2016-12-07.041690  8.651  0.037
2016-12-16.133410  8.558  0.002
2016-12-20.045040  8.381  0.062
2016-12-28.027980  8.203  0.065
2017-01-06.988310  7.049  0.012
2017-01-15.022200  5.631  0.023
2017-01-15.806300  5.572  0.019
2017-01-15.808600  5.613  0.014
2017-01-15.810500  5.566  0.019
2017-01-17.764900  5.267  0.023
2017-01-18.743000  5.145  0.026
2017-01-18.744700  5.125  0.022
2017-01-19.767800  4.964  0.022
2017-01-21.714000  4.664  0.014
2017-01-21.715800  4.674  0.025
2017-01-22.713400  4.548  0.013
2017-01-22.715400  4.565  0.011
2017-01-26.772500  4.217  0.011
2017-01-26.779100  4.224  0.024
2017-01-30.151300  4.082  0.010
2017-02-06.020840  3.601  0.015
2017-02-13.012500  3.505  0.017
2017-02-13.727000  3.548  0.022
2017-02-13.728800  3.469  0.016
2017-02-13.730800  3.509  0.016
2017-02-14.728800  3.488  0.018
2017-02-14.733500  3.486  0.017
2017-02-15.729100  3.459  0.014
2017-02-18.805600  3.506  0.018
2017-02-19.734200  3.491  0.015
2017-02-23.018270  3.446  0.018
2017-02-25.753700  3.531  0.014
2017-02-25.755900  3.485  0.012
2017-03-01.752200  3.515  0.017
2017-03-01.754300  3.548  0.032
2017-03-08.750500  3.798  0.150
2017-03-13.768500  3.750  0.150
2017-07-29.394210  8.490  0.018
2017-09-02.359590  9.420  0.071
2017-09-25.357690  9.810  0.015
2017-09-30.245780  9.773  0.045
2017-10-17.180960  9.372  0.082
2017-10-26.233840  9.228  0.067
2017-11-08.149970  8.696  0.036
2017-11-20.086280  7.986  0.046
2017-11-28.147790  7.244  0.026
2017-12-06.035840  6.074  0.030
2017-12-10.067570  5.446  0.054
2017-12-20.070280  4.141  0.023
2017-12-24.007090  3.836  0.024
2018-01-01.007560  3.503  0.010
2018-01-14.066120  3.473  0.013
2018-01-17.111380  3.428  0.079
2018-01-21.031810  3.326  0.045
2018-01-24.165360  3.364  0.082
2018-01-29.149780  3.166  0.086
2018-02-05.013340  3.260  0.011
2018-02-11.101210  3.449  0.095
2018-02-25.104510  3.523  0.008
2018-07-23.397220  9.283  0.060
2018-08-11.371600  9.459  0.019
2018-09-10.288970  9.388  0.027
2018-09-23.253330  9.077  0.019
2018-10-13.188160  8.645  0.033
2018-10-18.187170  8.365  0.013
2018-11-03.247400  5.680  0.022
2018-11-11.357690  4.793  0.013
2018-11-28.339510  4.319  0.049
2018-12-07.078650  3.879  0.018
2018-12-15.052570  3.940  0.019
2019-01-04.133840  4.260  0.023
2019-01-05.026750  4.261  0.026
2019-01-10.076610  4.326  0.033
2019-01-20.089790  4.665  0.020
2019-01-31.021170  4.925  0.034
2019-02-09.036160  5.213  0.010
2019-02-16.030960  5.460  0.055
2019-07-30.382560  8.587  0.024
2019-08-09.372190  8.546  0.016
2019-08-17.383260  8.302  0.020
2019-08-24.363130  8.195  0.012
2019-08-30.304700  7.885  0.013
2019-09-07.323180  7.071  0.016
2019-09-14.266730  6.037  0.019
2019-09-21.265500  4.484  0.049
2019-09-26.332570  3.711  0.014
2019-10-04.225380  3.099  0.017
2019-10-07.284880  2.948  0.007
2019-10-26.184180  2.799  0.010
2019-11-01.158340  2.995  0.009
2019-11-08.145200  3.251  0.009
2019-11-15.119290  3.580  0.020
2019-11-23.095760  3.879  0.010
2019-12-03.068080  4.164  0.031
2019-12-11.053290  4.425  0.041
2019-12-22.113890  4.613  0.023
2019-12-28.077200  4.766  0.064
2020-01-15.121350  4.845  0.019
2020-01-21.003310  4.892  0.031
2020-02-11.007490  5.611  0.029
2020-02-22.021460  6.067  0.010
2020-06-02.906000  8.848  0.002
2020-06-08.914000  8.650  0.000
2020-06-10.935000  8.511  0.000
2020-06-11.899000  8.546  0.000
2020-06-14.897000  8.528  0.000
2020-06-15.913000  8.657  0.000
2020-06-21.934000  8.547  0.000
2020-06-29.887000  8.304  0.000
2020-07-03.813000  8.204  0.000
2020-07-23.883000  7.360  0.000
2020-07-24.930000  7.300  0.000
2020-07-31.789000  6.705  0.000
2020-08-02.911000  6.529  0.000
2020-08-06.885000  6.128  0.000
2020-08-07.383210  6.083  0.008
2020-08-12.380950  5.674  0.026
2020-08-19.364570  4.810  0.023
2020-08-20.693000  4.624  0.000
2020-08-21.927000  4.419  0.000
2020-08-22.826000  3.465  0.000
2020-08-23.870000  4.460  0.000
2020-08-26.923000  4.160  0.000
2020-08-27.770000  4.131  0.000
